id;sexo;edad;peso;talla;trabaja;fecha
1;M;76;71;167;FALSE;2020-10-20
2;M;68;71;164;FALSE;2020-10-20
3;M;50;79;164;FALSE;2020-10-20
4;M;49;71;164;TRUE;2020-11-05
5;M;51;87;167.5;TRUE;2020-11-05
6;M;68;75;170;FALSE;2020-11-05
7;M;70;80;166;NA;2020-11-05
8;M;64;83;160;TRUE;2020-11-05
9;NA;60;69;160;TRUE;2020-10-20
10;F;57;73;155;TRUE;2020-10-20
11;F;83;60;155;FALSE;2020-10-20
12;M;76;70;167;FALSE;2020-10-25
13;F;27;64.8;170;TRUE;2020-10-25
14;F;34;71.8;160;TRUE;2020-10-25
15;F;17;61;162.5;FALSE;2020-10-25
16;F;45;59.6;155.5;TRUE;2020-10-25
17;F;64;72.2;156;NA;2020-10-25
18;M;54;82;177;NA;2020-10-25
19;M;52;94;184;TRUE;2020-10-26
20;M;61;72.5;160;TRUE;2020-11-05
21;M;67;86;167;FALSE;2020-11-05
22;M;54;90;169;TRUE;2020-11-05
23;M;77;75;170;FALSE;2020-11-05
24;F;25;62;165;TRUE;2020-11-05
25;M;68;81;169;FALSE;2020-10-20
26;F;28;51.6;163;TRUE;2020-10-20
27;NA;74;70.2;154;FALSE;2020-10-20
28;M;20;73.2;173;TRUE;2020-10-20
29;F;28;53;157;FALSE;2020-10-20
30;M;19;62.8;171;TRUE;2020-11-05
31;F;19;60.4;161;FALSE;2020-11-08
32;F;18;42;150;TRUE;2020-11-08
33;M;56;89.5;166;FALSE;2020-11-08
34;F;15;51.5;158;NA;2020-11-08
35;F;24;51.4;155;FALSE;2020-11-08
36;F;50;85.2;161.5;TRUE;2020-11-08
37;M;63;75.5;166;FALSE;2020-11-08
38;M;57;89;174.5;TRUE;2020-12-12
39;M;58;83;165;TRUE;2020-12-12
40;M;64;78;164;TRUE;2020-12-12
41;M;71;79;164;FALSE;2020-12-12
42;F;45;45.8;149;TRUE;2020-12-12
43;M;40;99.2;185;TRUE;2020-12-12
44;F;78;68;161;FALSE;2020-12-12
45;M;23;73.2;179;TRUE;2020-12-12
46;M;15;64;173;FALSE;2020-12-12
47;F;46;83;157;TRUE;2020-11-27
48;M;46;100;172;NA;2020-11-27
49;F;56;61;148;NA;2020-11-27
50;NA;22;69.6;174;TRUE;2020-11-27
51;M;53;88;182;TRUE;2020-11-27
52;M;86;51.8;163;FALSE;2020-11-27
53;M;64;78;169;TRUE;2020-11-27
54;F;18;51.6;172;FALSE;2020-11-27
55;M;32;72.5;173.5;TRUE;2020-11-28
56;M;17;59.4;177;FALSE;2020-12-15
57;M;63;65;158;FALSE;2020-12-15
58;M;70;78;161.5;FALSE;2020-12-15
59;M;64;68;162;TRUE;2020-12-15
60;F;53;59.6;165;TRUE;2020-12-15
61;F;39;81.6;150.5;TRUE;2020-12-15
62;M;13;61.2;164;NA;2020-11-14
63;F;39;53.6;163;TRUE;2020-11-14
64;F;60;73;159.5;NA;2020-11-14
65;M;19;76.4;178;TRUE;2020-11-14
66;M;22;73;165;TRUE;2020-11-14
67;F;35;85.6;162;TRUE;2020-11-14
68;F;53;70.6;160;TRUE;2020-11-14
69;F;75;71.8;150;FALSE;2020-11-14
70;M;41;71.4;163.5;FALSE;2020-11-14
71;M;25;110.5;178;TRUE;2020-11-14
72;M;55;80;166;NA;2020-11-14
73;M;57;70.4;163;TRUE;2020-11-20
74;M;52;93;168;TRUE;2020-11-20
